name,cluster,environment,period_ms,pdot,pdot_source,logP,logPdot_abs,log_b_proxy
J1647-0156A,M12,globular_cluster,2.3600,4.2500e-19,freire,-2.6271,-18.3716,-10.4993
J1647-0156B,M12,globular_cluster,2.7600,4.2700e-19,freire,-2.5591,-18.3696,-10.4643
J1657-0406A,M10,globular_cluster,4.7300,4.3900e-19,freire,-2.3251,-18.3575,-10.3413
J1657-0406B,M10,globular_cluster,7.3500,4.3355e-19,freire,-2.1337,-18.3630,-10.2483
J1701-3006A,M62,globular_cluster,5.2416,-1.3170e-19,freire,-2.2805,-18.8804,-10.5805
J1701-3006B,M62,globular_cluster,3.5939,-3.4962e-19,freire,-2.4444,-18.4564,-10.4504
J1701-3006C,M62,globular_cluster,7.6128,-6.3325e-20,freire,-2.1185,-19.1984,-10.6584
J1701-3006D,M62,globular_cluster,3.4178,1.3564e-19,freire,-2.4663,-18.8676,-10.6669
J1701-3006E,M62,globular_cluster,3.2337,3.0744e-19,freire,-2.4903,-18.5122,-10.5013
J1701-3006F,M62,globular_cluster,2.2947,2.2077e-19,freire,-2.6393,-18.6561,-10.6477
J1701-3006G,M62,globular_cluster,4.6081,-1.1457e-19,freire,-2.3365,-18.9409,-10.6387
J1701-3006H,M62,globular_cluster,3.7048,3.7890e-20,freire,-2.4312,-19.4215,-10.9264
J1701-3006I,M62,globular_cluster,3.2956,-3.3725e-19,freire,-2.4821,-18.4720,-10.4771
J1701-3006J,M62,globular_cluster,2.7600,1.1198e-18,freire,-2.5591,-17.9509,-10.2550
J1716-2808A,NGC 6316,globular_cluster,2.4500,1.7210e-18,freire,-2.6108,-17.7642,-10.1875
J1717+4308A,M92,globular_cluster,3.1597,6.1185e-20,freire,-2.5004,-19.2134,-10.8569
J1717+4308B,M92,globular_cluster,3.5100,3.5350e-19,freire,-2.4547,-18.4516,-10.4532
B1718-19,NGC 6342,globular_cluster,2.3000,1.6200e-15,atnf,-2.6383,-14.7905,-8.7144
J1721-1936B,NGC 6342,globular_cluster,2.5683,7.1400e-19,freire,-2.5904,-18.1463,-10.3683
J1735-3028B,Terzan 1,globular_cluster,11.1366,-8.9500e-18,freire,-1.9532,-17.0482,-9.5007
J1735-3028C,Terzan 1,globular_cluster,6.0388,-4.4300e-20,freire,-2.2190,-19.3536,-10.7863
