CID,sn_ra,sn_dec,sn_z,x1,HOST_LOGMASS,sigma_host,sigma_err,sdss_z,sdss_ra,sdss_dec,match_sep_arcsec,plate,mjd,fiberID,sigma_source
13689,4.0161,0.8076,0.25043,1.16931,10.45,73.39864,43.922245,0.25180966,4.015255000000025,0.80836301,4.098418217522921,4218,55479,870,SDSS_specObj
1371,349.374,0.4294,0.11818,0.79096,10.5372,182.91559,10.495978,0.11901512,349.37373,0.42966207,1.3545599209781995,382,51816,486,SDSS_specObj
13727,317.588,0.9326,0.22543,1.32135,9.953,15.946075,46.671833,0.2266142,317.58734000000004,0.93232391,2.575221507579364,4191,55444,674,SDSS_specObj
13796,350.692,0.5329,0.14747,0.79596,9.66952,47.22556,20.962997,0.14872202,350.69196,0.53228413,2.2218029871644855,4211,55446,526,SDSS_specObj
13835,6.0596,-0.2483,0.24617,0.63307,10.507,67.80288,16.887777,0.24753135,6.059367199999997,-0.24925189,3.527796833611332,4220,55447,452,SDSS_specObj
13956,20.9418,0.8167,0.26303,-1.19961,10.757,144.11702,93.35359,0.42914224,20.941472999999974,0.8162461,2.0138533142321893,4228,55484,880,SDSS_specObj
140181,183.738,46.845,0.10246,0.78345,9.67327,43.098244,25.447367,0.101544015,183.73758,46.844625,1.7005920969177022,1451,53117,267,SDSS_specObj
14261,328.24,0.2538,0.28446,0.67229,9.135,850.0,-3.0,0.28588003,328.24036,0.25367779,1.3686286351676882,4197,55479,780,SDSS_specObj
14284,49.0493,-0.6009,0.1805,-0.286147,10.572,110.52564,21.296923,0.18107092,49.049369,-0.60099187,0.4136174902864359,803,52264,25,SDSS_specObj
14331,7.8887,-0.1358,0.2199,0.18256,9.696,126.47177,48.479282,0.22119492,7.889097699999979,-0.13551955,1.7518970321339637,4220,55447,39,SDSS_specObj
14421,31.8299,1.2521,0.17417,-0.675014,11.5,175.30858,11.950786,0.17490306,31.829941,1.2520053,0.3714859414878735,404,51812,565,SDSS_specObj
14437,332.081,-1.1964,0.14806,0.61897,9.91097,90.80459,17.331768,0.14927453,332.08096,-1.196331,0.28710541707542475,4199,55481,124,SDSS_specObj
14481,2.6817,0.2013,0.2422,-1.04131,11.215,185.70041,11.950869,0.24357116,2.681463000000008,0.20185348,2.1675121823208885,4217,55478,940,SDSS_specObj
14735,35.158,0.3484,0.29947,0.008509,10.326,160.4452,38.837124,0.30047348,35.15847400000001,0.34807837,2.062123105370151,4236,55479,995,SDSS_specObj
14846,7.6632,0.1416,0.22349,0.65798,11.075,104.09097,9.411927,0.2247848,7.662617699999998,0.14200288,2.549103814604023,4221,55443,576,SDSS_specObj
