apogee_id,teff,logg,m_h,mass,age,distance,age_gyr
2M16205812+2258508,4926.005,2.443028,-0.51346,0.9274169,10207230000.0,1023.085,10.20723
2M16210271+2512409,4606.7,2.216615,-0.57534,1.011096,7289791000.0,2905.443,7.289791
2M16210394+2533024,4947.602,3.411508,0.11279,1.541474,3189422000.0,963.447,3.189422
2M16212178+2501359,4864.17,3.073121,-0.40768,1.019584,7829174000.0,405.5136,7.829174
2M16212513+2547383,4742.469,2.363167,-0.27525,1.00793,8915011000.0,639.8872,8.915011
2M16212539+2427383,4637.2,2.200155,-0.6944,1.013436,6820359000.0,2111.268,6.820359
2M16213415+2319171,4921.238,3.222894,-0.12898,1.169366,5973488000.0,1401.545,5.973488
2M16213481+2400581,4690.569,1.606138,-1.4956,0.990325,6064269000.0,4599.532,6.064269
2M16213532+2445139,5019.506,2.445032,-0.61373,0.9573352,8623269000.0,1963.974,8.623269
2M16213701+2447369,5058.92,2.293395,-0.73841,1.010909,6750019000.0,2937.007,6.750019
2M16214044+2410137,4663.238,2.515625,-0.4208,0.9974622,8379027000.0,1582.567,8.379027
2M16214353+2543243,5125.511,2.729975,-2.0295,0.8758042,8957144000.0,1771.676,8.957144
2M16215398+2414419,5101.693,3.332242,-0.38485,1.220079,4353518000.0,1135.862,4.353518
2M16215824+2507557,4752.092,2.785971,-0.27217,1.131908,5999728000.0,849.4174,5.999728
2M16220101+2531099,4691.951,2.622153,-0.034226,1.316111,4334486000.0,559.6471,4.334486
2M16220186+2409324,4633.741,2.969015,-0.77943,1.206778,3705597000.0,1190.965,3.705597
2M16221358+2334462,4640.198,1.961517,-0.84944,1.03623,5951332000.0,5150.047,5.951332
2M16221959+2334545,4702.021,2.576851,-0.38957,1.037334,7462314000.0,1541.575,7.462314
2M16223314+2324283,4812.355,2.741311,-0.14387,1.531299,2463402000.0,1160.062,2.463402
2M16224161+2547161,4016.941,0.7757037,-1.1754,1.12435,4181331000.0,5436.46,4.181331
2M16224330+2351120,4354.046,1.534699,-0.71581,1.014061,6742737000.0,3580.155,6.742737
2M16224524+2430410,5221.145,2.426221,-0.83597,1.275145,3052243000.0,3109.259,3.052243
2M16224574+2520099,4143.63,1.347293,-0.6256,0.9863212,7731391000.0,1624.656,7.731391
2M16225163+2412528,5071.039,2.551199,-0.58893,1.057045,6222573000.0,2866.009,6.222573
2M16225583+2421497,4586.542,2.359369,-0.3807,1.015216,8087737000.0,3665.376,8.087737
2M16225925+2434302,4633.455,2.57849,-0.12546,1.132373,6678294000.0,1258.665,6.678294
2M16230969+2334335,4766.017,2.461582,-0.29728,1.006147,8831491000.0,2753.445,8.831491
