apogee_id,teff,logg,m_h,alpha_m,fe_h,c_fe,n_fe,glon,glat,dist50,dist16,dist84,mass50
2M17361429-2726190,3729.356,1.199539,0.23936,0.0206595,0.2297,0.06077102,0.20839,0.176346928,2.54657364,6.484159,6.24579,7.119475,1.027628
2M17362394-2711061,3457.347,0.9051443,0.47624,0.009141,0.4674,0.06259,0.14269,0.409666598,2.65266919,5.933746,5.925989,7.353014,0.9748015
2M17363062-2738401,3535.438,0.5968342,-0.066356,0.0347151,-0.083356,0.0247716,0.14911,0.0349896103,2.38510275,6.192678,5.867313,6.960968,0.9379584
2M17363131-2834528,3586.617,0.6042459,-0.053619,0.086184,-0.077102,0.046506,0.189623,359.245605,1.87966526,9.25168,8.309188,10.00664,1.129121
2M17363199-2756150,4141.82,1.224051,-0.79298,0.310925,-0.80803,-0.02995002,0.35572,359.790314,2.22347379,5.320731,4.869624,6.396159,0.9798094
2M17363703-2747461,3534.8,0.6431325,0.051842,0.012302,0.042119,0.04205601,-0.018899,359.919647,2.28372502,7.980346,7.460338,8.517672,1.0101
2M17364008-2752366,3840.17,0.952574,-0.51816,0.283755,-0.52842,0.14618,0.31341,359.857544,2.23090196,5.997332,5.580852,6.610056,0.9716414
2M17364228-2842345,3927.284,1.40525,0.09914,0.0291252,0.089041,0.035658,0.204219,359.158936,1.77692175,4.038833,3.810882,4.954877,1.292524
2M17364464-2735408,3717.491,1.057964,0.1295,0.069091,0.10624,0.052655,0.14082,0.104843214,2.36815381,7.711204,7.282931,8.321929,1.005758
2M17364593-2840486,3691.714,0.5652592,-0.46477,0.172375,-0.50617,0.06814098,0.21987,359.190948,1.78145933,7.202461,6.406272,8.269132,1.034708
2M17365238-2818440,3284.695,0.393313,0.15852,0.0197284,0.14963,0.029743,0.085209,359.514221,1.95905674,7.683562,6.718269,7.86656,1.124189
2M17365352-2707187,4040.994,1.629214,0.13638,0.040565,0.12645,0.04690599,0.2271,0.521928251,2.59400344,3.812781,3.681438,4.315015,1.129519
2M17365793-2714279,3676.162,1.184357,0.33896,0.0236934,0.32648,0.05803201,0.18414,0.42994529,2.51629043,5.639912,5.620385,6.379968,0.9915665
2M17370483-2743383,3527.737,0.6128727,-0.3654,0.291895,-0.37503,0.2403,0.12087,0.0327857956,2.23413277,5.905934,5.886404,7.351009,1.114108
2M17371097-2705033,3561.84,0.4445595,-0.23946,0.058705,-0.25813,0.029071,0.05510901,0.588430464,2.55950499,8.358831,8.091477,8.688198,0.7262822
2M17371119-2710467,3939.289,1.284356,-0.037993,0.091045,-0.050854,0.052201,0.188651,0.508238196,2.50771785,5.23394,4.97789,6.348514,1.333748
2M17371229-2832342,3519.565,0.6405395,0.13125,0.043531,0.12347,0.02616399,0.18469,359.358643,1.77377856,8.738334,8.269276,9.301494,1.181737
2M17371443-2718049,3301.179,0.5083901,0.20582,0.0174461,0.19588,0.031902,0.07984799,0.411756366,2.43240786,8.576435,6.989166,8.617708,2.26329
