apogee_id,field,glon,glat,teff,logg,m_h,alpha_m,vmicro,vsini,r_arcmin
2M16371177+3640217,M13,59.1653843155688,41.8319633665999,4664.53,2.465901,-0.068352,0.111409,1.126894,-9999.0,56.097937979548334
2M16371840+3558183,M13,58.2332785197704,41.7383234963995,4902.906,3.229114,-0.30945,0.262865,0.4025965,1.504458,68.13147481990396
2M16372078+3635578,M13,59.0714175846835,41.7948555431515,4805.049,3.059121,-0.013774,0.050546,0.9874018,-9999.0,53.21906826538271
2M16372271+3721197,M13,60.0825271938851,41.8581154224695,4825.469,2.73619,-0.65235,0.315225,1.214694,-9999.0,85.8909469584035
2M16372467+3655495,M13,59.5151148302786,41.8135409498203,4739.772,2.761887,0.062459,0.0230735,1.120606,-9999.0,62.10875995518186
2M16372725+3618352,M13,58.6879751778394,41.7442268476799,4671.481,2.459022,-0.59163,0.269835,1.473092,-9999.0,53.65336811532932
2M16372760+3644248,M13,59.2623890922564,41.7858258331274,5007.772,3.246653,-0.514,0.246045,0.79431,2.518836,54.687988790116755
2M16373721+3623180,M13,58.7972798847027,41.719028808878,4897.521,3.538475,0.17886,0.075404,0.3356294,1.502242,50.191621410031914
2M16373924+3528344,M13,57.5845492170498,41.6128923609308,4712.02,2.500622,-0.59677,0.257105,1.301338,-9999.0,95.35975765702003
2M16374302+3640370,M13,59.1846312840865,41.7284293960241,4711.01,3.024789,0.24837,0.010331,0.9477614,-9999.0,50.21117347731547
2M16374360+3609572,M13,58.5039275614976,41.6745945065005,4904.513,3.141277,-0.49335,0.304865,0.7316275,-9999.0,55.01427687952498
2M16374630+3701353,M13,59.6523278482078,41.7507364248702,5135.952,2.39123,-0.76025,0.223595,1.924288,-9999.0,63.4816672943649
2M16375027+3635052,M13,59.0649453544837,41.6952518794534,5100.43,3.780473,-0.53504,0.158295,0.4432615,1.874951,47.230310418120254
2M16375847+3654029,M13,59.4897746554996,41.6986726013784,4850.617,2.99785,-0.45285,0.242995,0.9004093,-9999.0,55.38842380867195
