name,cluster,P_ms,P1_e20,Pb_days,is_binary,P,P1,log_P1,P1_sign,environment
J1748-2446ae,Terzan 5,3.65859,-57.0,0.17073,True,0.0036585899999999998,-5.7e-19,-18.24412514432751,-1.0,globular_cluster
J1748-2446af,Terzan 5,3.30434,-23.0,,False,0.00330434,-2.3e-19,-18.638272163982407,-1.0,globular_cluster
J1748-2446ag,Terzan 5,4.44803,1.2,,False,0.00444803,1.2e-20,-19.920818753952375,1.0,globular_cluster
J1748-2446ah,Terzan 5,4.96515,57.0,,False,0.004965150000000001,5.7e-19,-18.24412514432751,1.0,globular_cluster
J1748-2446ai,Terzan 5,21.22838,140.0,0.85088,True,0.02122838,1.3999999999999999e-18,-17.853871964321762,1.0,globular_cluster
J1748-2446aj,Terzan 5,2.95891,14.1232,,False,0.00295891,1.41232e-19,-18.850066890756736,1.0,globular_cluster
J1748-2446ak,Terzan 5,1.8901,8.8495,,False,0.0018900999999999998,8.8495e-20,-19.053081266406725,1.0,globular_cluster
J1748-2446am,Terzan 5,2.93382,-13.68,0.80011,True,0.0029338199999999997,-1.368e-19,-18.863913902615902,-1.0,globular_cluster
J1748-2446an,Terzan 5,4.802,15.5746,9.61975,True,0.004802,1.55746e-19,-18.807583098442375,1.0,globular_cluster
J1748-2446ao,Terzan 5,2.27438,8.6979,57.5556,True,0.00227438,8.6979e-20,-19.06058558973781,1.0,globular_cluster
J1748-2446ap,Terzan 5,3.74469,30.7,21.3882,True,0.0037446899999999997,3.07e-19,-18.512861624522813,1.0,globular_cluster
J1748-2446aq,Terzan 5,12.52194,-71.6198,0.11865,True,0.01252194,-7.161979999999999e-19,-18.144966896100122,-1.0,globular_cluster
J1748-2446ar,Terzan 5,1.95281,-26.48,0.51333,True,0.00195281,-2.648e-19,-18.57708201923234,-1.0,globular_cluster
J1748-2446as,Terzan 5,2.32646,25.59829,,False,0.00232646,2.5598289999999997e-19,-18.591789045171286,1.0,globular_cluster
J1748-2446at,Terzan 5,2.18819,-5.89966,0.21888,True,0.00218819,-5.89966e-20,-19.22917301621864,-1.0,globular_cluster
J1748-2446au,Terzan 5,4.54822,-10.6797,5.97946,True,0.0045482199999999995,-1.06797e-19,-18.971440946762005,-1.0,globular_cluster
J1748-2446av,Terzan 5,1.84945,-4.25047,3.38166,True,0.00184945,-4.25047e-20,-19.3715630447448,-1.0,globular_cluster
J1748-2446aw,Terzan 5,13.04908,130.6465,0.73138,True,0.01304908,1.3064649999999999e-18,-17.88390222046438,1.0,globular_cluster
J1748-2446ax,Terzan 5,1.9435,-0.95495,30.2088,True,0.0019435,-9.549499999999998e-21,-20.0200193669425,-1.0,globular_cluster
J1748-2021B,NGC 6440,16.7601,-32.913,20.55,True,0.0167601,-3.2912999999999994e-19,-18.48263253022263,-1.0,globular_cluster
J1748-2021C,NGC 6440,6.22693,-5.984,,False,0.00622693,-5.984e-20,-19.223008415143596,-1.0,globular_cluster
J1748-2021D,NGC 6440,13.4958,58.678,0.28607,True,0.013495799999999999,5.8678e-19,-18.23152469721059,1.0,globular_cluster
J1748-2021E,NGC 6440,16.264,31.24,,False,0.016264,3.1239999999999997e-19,-18.505288974794738,1.0,globular_cluster
J1748-2021F,NGC 6440,3.79363,-1.055,9.83397,True,0.0037936299999999997,-1.0549999999999998e-20,-19.97674754036629,-1.0,globular_cluster
J1748-2021G,NGC 6440,5.21534,-15.9525,,False,0.005215340000000001,-1.59525e-19,-18.79717124670557,-1.0,globular_cluster
J1748-2021H,NGC 6440,2.84849,18.9976,0.36079,True,0.00284849,1.8997599999999997e-19,-18.72130126076254,1.0,globular_cluster
J1750-37A,NGC 6441,111.608,566.1,17.3343,True,0.111608,5.661e-18,-17.247106845115407,1.0,globular_cluster
J1750-3703B,NGC 6441,6.07454,1.92,3.60511,True,0.00607454,1.92e-20,-19.71669877129645,1.0,globular_cluster
J1750-3703C,NGC 6441,26.5687,-99.6,,False,0.0265687,-9.96e-19,-18.001740661576303,-1.0,globular_cluster
J1750-3703D,NGC 6441,5.13994,49.28,,False,0.00513994,4.928e-19,-18.30732930084363,1.0,globular_cluster
J1801-0857A,NGC 6517,7.17561,-50.992,,False,0.00717561,-5.099199999999999e-19,-18.292497953870342,-1.0,globular_cluster
J1801-0857B,NGC 6517,28.96159,220.34,59.8364,True,0.028961590000000002,2.2033999999999998e-18,-17.656906654903864,1.0,globular_cluster
J1801-0857C,NGC 6517,3.7387,-6.298,,False,0.0037387,-6.298e-20,-19.200797343699474,-1.0,globular_cluster
J1801-0857D,NGC 6517,4.22653,0.752,,False,0.00422653,7.519999999999999e-21,-20.123782159408357,1.0,globular_cluster
J1801-0857E,NGC 6517,7.6017,-103.598,,False,0.0076017,-1.0359799999999999e-18,-17.984648628735073,-1.0,globular_cluster
J1801-0857F,NGC 6517,24.89199,-267.08,,False,0.02489199,-2.6707999999999997e-18,-17.573358632438556,-1.0,globular_cluster
J1801-0857G,NGC 6517,51.59137,10.7,,False,0.05159137,1.0699999999999999e-19,-18.970616222314792,1.0,globular_cluster
J1801-0857H,NGC 6517,5.64272,3.431,,False,0.0056427199999999995,3.431e-20,-19.464579281943827,1.0,globular_cluster
J1801-0857I,NGC 6517,3.2542,-1.642,,False,0.0032542,-1.6419999999999998e-20,-19.78462684721658,-1.0,globular_cluster
J1801-0857K,NGC 6517,9.5905,81.8,,False,0.0095905,8.179999999999999e-19,-18.087246696328677,1.0,globular_cluster
J1801-0857L,NGC 6517,6.0573,-3.38,,False,0.0060573,-3.3799999999999997e-20,-19.471083299722345,-1.0,globular_cluster
J1801-0857M,NGC 6517,5.3568,48.586,,False,0.0053568,4.858599999999999e-19,-18.313488854166774,1.0,globular_cluster
J1801-0857N,NGC 6517,4.9946,-53.15,,False,0.0049946,-5.314999999999999e-19,-18.274496731140683,-1.0,globular_cluster
J1801-0857O,NGC 6517,4.2871,12.139,,False,0.004287099999999999,1.2138999999999998e-19,-18.915817088579526,1.0,globular_cluster
J1803-3002A,NGC 6522,7.10139,4.0,,False,0.00710139,4e-20,-19.397940008672037,1.0,globular_cluster
J1803-3002C,NGC 6522,5.8404,69.73,,False,0.0058404,6.973e-19,-18.15658033479508,1.0,globular_cluster
B1802-07,NGC 6539,23.1009,47.0,2.61676,True,0.0231009,4.7e-19,-18.327902142064282,1.0,globular_cluster
J1807-2459A,NGC 6544,3.05945,-0.4335,0.07109,True,0.00305945,-4.335e-21,-20.36301089818777,-1.0,globular_cluster
J1807-2500B,NGC 6544,4.18618,8.23245,9.95667,True,0.00418618,8.232449999999999e-20,-19.08447089830692,1.0,globular_cluster
B1820-30A,NGC 6624,5.44,338.5,,False,0.00544,3.3849999999999997e-18,-17.470441326978836,1.0,globular_cluster
J1823-3021G,NGC 6624,6.09129,-1.8,1.54014,True,0.00609129,-1.8e-20,-19.744727494896694,-1.0,globular_cluster
B1821-24A,M28,3.05431,155.0,,False,0.00305431,1.5499999999999998e-18,-17.80966830182971,1.0,globular_cluster
J1824-2452B,M28,6.54666,-24.15,,False,0.00654666,-2.415e-19,-18.61708286491247,-1.0,globular_cluster
J1824-2452C,M28,4.15828,17.0158,8.07781,True,0.00415828,1.7015799999999999e-19,-18.769147627677896,1.0,globular_cluster
