PLATEIFU,redshift,LW_AGE_1RE,LW_AGE_1RE_ERROR,MW_AGE_1RE,MW_AGE_1RE_ERROR,LW_Z_1RE,MW_Z_1RE,PHOTOMETRIC_MASS,stellar_sigma_1re
11953-6102,0.0725098,0.8262644,0.1135165,0.9457718,0.0908834,0.1855157,0.1953118,11.40627,222.6308
11953-6102,0.0725098,0.8262644,0.1135165,0.9457718,0.0908834,0.1855157,0.1953118,11.40627,222.8964
11953-6103,0.04053468,0.9786233,0.08194496,1.051706,0.05261351,-0.02100482,-0.07087338,10.93269,220.8739
11953-6103,0.04053468,0.9786233,0.08194496,1.051706,0.05261351,-0.02100482,-0.07087338,10.93269,220.8739
11953-6103,0.04053468,0.9786233,0.08194496,1.051706,0.05261351,-0.02100482,-0.07087338,10.93269,220.8739
11953-6103,0.04053468,0.9786233,0.08194496,1.051706,0.05261351,-0.02100482,-0.07087338,10.93269,220.8739
11953-6104,0.05363075,0.8405709,0.1098927,0.9917906,0.07624255,0.2206223,0.2523273,10.6369,119.5777
11953-6104,0.05363075,0.8405709,0.1098927,0.9917906,0.07624255,0.2206223,0.2523273,10.6369,119.5777
11953-6104,0.05363075,0.8405709,0.1098927,0.9917906,0.07624255,0.2206223,0.2523273,10.6369,118.4792
11953-6104,0.05363075,0.8405709,0.1098927,0.9917906,0.07624255,0.2206223,0.2523273,10.6369,119.5777
11953-9101,0.03100007,0.2399248,0.1965159,0.7798495,0.1863354,-0.2052212,-0.7455352,9.610085,71.3461
11953-9101,0.03100007,0.2399248,0.1965159,0.7798495,0.1863354,-0.2052212,-0.7455352,9.610085,71.3461
11953-9101,0.03100007,0.2399248,0.1965159,0.7798495,0.1863354,-0.2052212,-0.7455352,9.610085,71.96284
11953-9101,0.03100007,0.2399248,0.1965159,0.7798495,0.1863354,-0.2052212,-0.7455352,9.610085,71.3461
11953-9102,0.07254687,0.9029682,0.1062979,1.033038,0.05786121,0.1634514,0.2256847,11.23124,248.4663
11953-9102,0.07254687,0.9029682,0.1062979,1.033038,0.05786121,0.1634514,0.2256847,11.23124,248.4663
11953-9102,0.07254687,0.9029682,0.1062979,1.033038,0.05786121,0.1634514,0.2256847,11.23124,244.9815
11953-9102,0.07254687,0.9029682,0.1062979,1.033038,0.05786121,0.1634514,0.2256847,11.23124,248.4663
11954-12701,0.055936,0.5601335,0.2022042,0.9169934,0.152391,-0.1079993,-0.07612565,10.6377,57.0778
11954-12701,0.055936,0.5601335,0.2022042,0.9169934,0.152391,-0.1079993,-0.07612565,10.6377,57.0778
11954-12701,0.055936,0.5601335,0.2022042,0.9169934,0.152391,-0.1079993,-0.07612565,10.6377,55.41932
11954-12701,0.055936,0.5601335,0.2022042,0.9169934,0.152391,-0.1079993,-0.07612565,10.6377,57.0778
11954-12703,0.02461417,0.5196515,0.2572779,0.8870615,0.222979,-0.1742854,-0.5840747,9.837563,51.00004
11954-12703,0.02461417,0.5196515,0.2572779,0.8870615,0.222979,-0.1742854,-0.5840747,9.837563,51.00004
11954-12703,0.02461417,0.5196515,0.2572779,0.8870615,0.222979,-0.1742854,-0.5840747,9.837563,55.92672
11954-12703,0.02461417,0.5196515,0.2572779,0.8870615,0.222979,-0.1742854,-0.5840747,9.837563,51.00004
11954-12704,0.03031263,0.3831683,0.1690591,0.7323273,0.1991575,-0.06226383,-0.2770221,10.97661,128.7711
