apogee_id,dist50,glon,glat,mn_fe,fe_h
2M17132515-2429277,12.27353,359.771118,8.44722652,-0.163428,-0.44915
2M17132676-2511494,5.420515,359.190857,8.03639793,0.108922,0.22649
2M17132825-2500303,6.420037,359.350006,8.14029598,-0.077968,-0.84533
2M17133034-2415531,5.803148,359.969879,8.56095505,-0.03293797,-0.46974
2M17133154-2354483,4.452832,0.263718337,8.75863647,0.004761994,-0.19193
2M17133382-2430240,2.249989,359.777252,8.41130924,-0.04931802,-0.24662
2M17133418-2352185,5.356542,0.304059595,8.77424717,-0.08981803,-0.41119
2M17133462-2434592,2.514507,359.715729,8.36493969,-0.03249601,-0.079702
2M17133542-2426430,2.5986,359.831573,8.44157887,-0.03624801,-0.13216
2M17133570-2459138,0.2907141,359.383911,8.1295042,0.05289251,0.13792
2M17134171-2403381,6.783824,0.16413933,8.64256954,-0.07585806,-0.54633
2M17134273-2420480,11.05916,359.929321,8.47541523,-0.118618,-0.75278
2M17134276-2405268,9.881128,0.14143528,8.62200165,-0.08727801,-0.42877
2M17134354-2444440,1.340603,359.600922,8.24403095,-0.029557,0.073285
2M17134361-2446392,0.8072745,359.574585,8.22544575,0.02740109,0.0029259
2M17134502-2400017,1.543696,0.221270755,8.66668606,0.09888799,0.076431
2M17134614-2455462,7.778593,359.454437,8.13035679,-0.176948,-0.58393
2M17134692-2449535,2.421054,359.537201,8.18418407,-0.110728,-0.29419
2M17134700-2441353,7.325783,359.651855,8.26340389,-0.004798055,-1.6197
2M17134848-2437299,0.4309941,359.711548,8.29793167,-0.03888448,-0.031723
2M17135054-2455188,10.0184,359.470398,8.12111855,-0.121478,-0.99592
2M17135062-2404124,8.138089,0.175885126,8.60933876,0.02922099,0.018191
2M17135069-2514238,8.963472,359.207825,7.93794918,-0.216648,-0.71455
2M17135112-2408458,7.371513,0.114018567,8.56427765,-0.182538,-0.75226
2M17135156-2423483,0.3763224,359.907288,8.41923428,0.1666725,0.24984
2M17135235-2430157,1.501132,359.819885,8.35507679,-0.148538,-0.64883
2M17135340-2417007,6.139784,0.00513817696,8.47840881,0.04484197,-0.33635
2M17135374-2345257,6.429248,0.442382514,8.77873039,-0.08391804,-0.6299
2M17135374-2420494,9.771221,359.953247,8.44095325,-0.009899009,0.018241
2M17135543-2346576,1.956733,0.424924016,8.75885391,0.03652,-0.096648
2M17135579-2430204,1.837653,359.826385,8.34363937,0.042767,0.11264
2M17135625-2426463,9.296742,359.876648,8.37631798,-0.3053681,-0.92503
2M17135724-2519546,8.526412,359.14624,7.86493063,-0.128828,-0.60574
2M17135834-2417478,10.3919,0.00514445733,8.45555496,-0.033428,0.10573
2M17135880-2503019,6.622306,359.382141,8.02170372,-0.164248,-0.72235
2M17140044-2412082,5.607997,0.0879361257,8.50305176,-0.2789881,-0.91401
2M17140177-2439415,4.819692,359.71048,8.23572922,-0.051218,-0.30714
2M17140302-2406302,8.023408,0.171461552,8.54875374,-0.05175802,-0.4186
2M17140439-2427434,1.932229,359.881378,8.34191036,0.020813,0.16723
2M17140608-2349310,2.833112,0.413043261,8.7011776,-0.03563101,-0.097667
2M17140690-2357581,6.831481,0.297970235,8.61804008,0.03718899,0.055449
2M17140713-2347240,10.11243,0.444652349,8.71807861,-0.132598,-0.28761
2M17140789-2416415,4.032042,0.0414149947,8.43636131,-0.1229181,-0.76328
2M17140865-2422267,8.985332,359.963623,8.37907982,0.114722,0.33
2M17140962-2508599,9.08622,359.323578,7.93119669,-0.268468,-0.44596
2M17141005-2413208,3.791588,0.0923696607,8.46155167,0.092282,-0.045421
2M17141372-2428033,7.749862,359.897308,8.30975819,-0.02626804,-0.41583
2M17141420-2429146,0.5097123,359.881958,8.29691887,0.06975251,-0.07259
2M17141502-2352591,2.783207,0.384794921,8.64018059,-0.109108,-0.54862
2M17141593-2523140,8.408051,359.141235,7.7755127,-0.126698,-0.53988
2M17141628-2444199,0.2737151,359.678253,8.14638805,-0.06634349,-0.025424
2M17141757-2503092,2.058819,359.421509,7.96253252,-0.021912,-0.064866
2M17141832-2433460,7.345577,359.828522,8.24093628,-0.08179796,-1.0762
2M17141837-2408209,6.433287,0.17971836,8.48329449,-0.05016798,-0.52552
2M17141904-2507369,8.046947,359.36322,7.91530848,0.03507201,-0.21701
2M17141907-2424413,8.611176,359.955536,8.32525635,-0.344588,-0.60161
2M17141914-2506397,9.576047,359.376587,7.9241209,-0.100048,-0.39672
2M17141923-2413055,1.978013,0.11606773,8.43539238,0.0639329,0.058472
2M17142012-2352404,9.981995,0.400330484,8.6271801,-0.337698,-1.1627
2M17142079-2427418,1.620646,359.917755,8.29119015,0.001144994,-0.047143
2M17142108-2450149,7.344851,359.607147,8.07500458,-0.07820797,-0.60701
2M17142110-2418317,7.053271,0.0450695418,8.37769985,-0.07616803,-0.37765
2M17142199-2522045,9.357128,359.170441,7.76791763,-0.03946802,-0.35768
2M17142329-2441233,0.2166177,359.734222,8.15274239,0.02118551,-0.023913
2M17142347-2415435,7.861309,0.0889982805,8.39706326,-0.134418,-0.62973
2M17142371-2426252,5.953672,359.941772,8.29431152,-0.141968,-0.30279
2M17142413-2438265,1.903285,359.776733,8.17828465,0.09184199,0.11253
2M17142424-2405588,2.605135,0.225384071,8.48756599,0.2133819,0.40226
2M17142443-2457219,4.236573,359.516327,7.99662018,-0.017914,-0.088614
2M17142460-2513220,9.710992,359.296112,7.84316874,-0.249398,-1.08
2M17142482-2436416,0.5114381,359.802368,8.19281006,0.03809199,0.42669
2M17142585-2414391,5.627207,0.10904815,8.39987755,-0.004377961,-0.52618
2M17142680-2454465,7.126513,359.55722,8.01403427,0.015992,-0.19153
2M17142706-2442113,12.37543,359.731415,8.13341331,-0.05368799,-0.3095
2M17142785-2351211,7.625723,0.435632914,8.61560154,-0.1652279,-0.78507
2M17142787-2401339,3.902716,0.29440853,8.51827717,0.01012499,-0.030603
2M17142789-2424211,4.15458,359.979523,8.30102158,-0.08982795,-0.62743
2M17143098-2408219,9.822325,0.207241759,8.44378853,-0.193728,-0.84657
2M17143378-2506473,9.305599,359.406799,7.87767124,-0.388978,-0.82732
2M17143410-2434364,6.798006,359.851501,8.18388939,-0.088278,-0.38668
