plateifu,mangaid,objra,objdec,log_Mass,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,vel_sigma_Re,Re_kpc
9194-12703,1-603974,47.1942785726,-0.733117363745,11.00336,9.236879,-0.6143711,9.74544,-0.2312794,-0.1454915,-0.2216287,0.3701359,7.468831
9194-12704,1-37427,46.0210568698,-0.0860267487325,10.01001,8.675907,-0.06348679,9.649194,0.1170397,-0.3464437,-0.1018133,0.8540035,4.586395
9194-12705,1-37796,46.7745390667,-1.13440267087,10.13821,8.686537,-0.6086001,9.73521,0.08410379,-0.4402257,-0.05267093,0.392575,7.170721
9194-1901,1-37775,46.9714552733,-0.922970134592,10.16258,9.639893,-0.1344851,9.847147,-0.1118526,-0.2515273,0.02123072,0.1737052,1.232187
9194-1902,1-37755,47.262752488,-0.913977616056,10.15356,9.568267,-0.1580705,9.726912,-0.05966339,-0.09458859,0.0161768,0.3435751,1.535028
9194-3701,1-603965,46.8845735994,-0.96455667301,11.28875,9.569355,0.05717626,9.717093,0.111844,0.02664747,-0.1105945,0.1095792,5.970806
9194-3702,1-37862,47.0294515613,0.456208364797,11.25047,8.916355,0.2423354,9.569066,-0.04321291,-0.1609564,0.02750168,0.2594159,3.881785
9194-3703,1-37846,47.189315197,0.674819334787,11.52398,9.649145,-0.07725646,9.812884,-0.1037839,0.06958307,-0.03783464,0.1079868,7.087661
9194-3704,1-37754,47.3207531152,-0.906653484303,11.17178,9.761346,0.1224249,9.889017,0.1396319,-0.0653467,-0.1794743,0.04800925,2.945559
9194-6101,1-37336,46.7170694138,-0.896544995426,11.14891,9.004714,0.005481373,9.486502,-0.1838585,-0.122558,-0.1030132,0.4132278,6.082105
9194-6102,1-547747,46.0024519126,-0.760340598224,10.54932,9.531722,0.05623654,9.700826,-0.1092003,-0.3637244,-0.06642768,0.3666528,2.821282
9194-6103,1-37633,47.1429889739,0.55093690996,10.89339,9.770036,-0.1273532,9.904783,-0.1377672,0.06088976,-0.01691704,0.2567456,1.928644
9194-6104,1-37751,47.2479059369,-0.793340169809,10.0541,9.029265,-0.0506806,9.749577,-0.07589785,-0.41978,-0.179036,0.7414225,3.675688
9194-9101,1-37818,46.4972859801,-0.166472479946,11.60826,9.382509,-0.208454,9.676952,-0.2444433,0.1454494,-0.08032658,0.476667,8.081242
9194-9102,1-37904,47.5812703826,0.0441144790254,11.62506,9.65162,-0.139883,9.818554,-0.1759594,-0.07141402,-0.1867539,0.2362766,11.29786
9195-12701,1-42680,27.8864427766,12.6996000839,9.660993,8.833014,-0.3284078,9.796381,0.2055967,-0.49,0.0,0.6012509,3.93599
9195-12702,1-42813,28.3757033338,14.57094903,11.52814,8.847888,-0.8912965,9.700478,-0.08989317,-0.3252877,-0.4732388,0.4045697,15.50755
9195-12703,1-41910,30.1831280251,14.2106205629,9.503719,8.568294,-0.1989814,9.741881,-0.04250367,-0.4873733,-0.01035882,0.3200873,2.898378
9195-12704,1-602964,28.51532,14.90932,9.284275,8.099303,-0.8835986,9.206721,-0.4799629,-0.4511567,-0.05200348,0.5911534,5.284809
9195-12705,1-602993,28.7483064255,13.4829607899,10.57776,9.308107,-0.07702571,9.723056,-0.0604712,-0.02740711,-0.09109065,0.3964221,3.694238
9195-1901,1-42253,27.5653058921,13.1407727975,9.47103,9.058787,0.2563679,9.841577,0.1906302,-0.3545211,-0.06076682,0.2047499,0.7207813
9195-1902,1-42615,28.6050934003,12.6631701303,10.53081,8.383512,0.04782894,9.794882,0.1325896,-0.3690687,-0.05120307,0.2902097,1.30339
9195-3701,1-42707,27.4754569786,13.1266326534,9.517278,9.451159,-0.2654871,9.700487,-0.03367746,-0.3596745,-0.2871901,0.432247,1.398269
9195-3702,1-42250,27.8427837194,13.0603351418,11.33925,9.261873,0.0007929754,9.593668,-0.1501613,-0.02206734,0.050958,0.3009035,6.405526
9195-3703,1-603039,29.0522287022,14.9066391304,10.56444,8.929347,0.1352177,9.696517,0.01916745,-0.1735648,-0.07260836,0.4271103,2.705665
9195-3704,1-42660,28.1850476804,13.1925503037,10.58125,8.97695,-0.6748068,9.783484,0.1266768,-0.1448249,-0.1898297,0.4156699,2.639233
9195-6101,1-42703,27.529862933,13.1103745569,11.44969,9.768915,0.06635433,9.843777,0.06015799,0.06849997,-0.08783302,0.1712438,5.540627
9195-6102,1-42704,27.6536619348,13.1102002694,9.51204,9.151387,0.1934842,9.525952,-0.01555533,-0.3729376,-0.1307991,0.7209805,1.967158
9195-6103,1-558630,28.4430926434,12.8804488583,11.6775,9.640829,-0.1797625,9.869967,-0.02248997,0.0731126,-0.08344252,0.1756673,9.204366
9195-6104,1-603028,28.9665870132,14.9402756516,11.0753,8.556334,-0.1176561,9.761301,0.2283882,-0.3874419,-0.3012914,0.4118557,4.802645
9195-9101,1-42646,28.0792260837,13.6340560516,10.91479,8.887095,-0.5217339,9.605082,-0.01822843,-0.2443211,-0.2013251,0.365841,5.007411
9195-9102,1-558592,28.9773338942,14.8215751452,11.18774,9.458206,-0.003340133,9.645902,-0.06254059,-0.1567238,-0.1349508,0.1163378,7.393174
9196-12701,1-595146,260.126453553,52.6430405566,10.90346,9.461926,-0.3479093,9.597397,-0.3078658,-0.0425543,-0.1864278,0.2886723,7.644516
9196-12702,1-25771,260.555540079,54.3180746625,11.59348,9.493417,-0.5006463,9.821767,-0.09034999,-0.3131323,-0.05567391,0.4555469,22.32535
9196-12703,1-24660,262.399282723,54.4944236725,11.24168,9.066243,-0.1345429,9.561965,-0.1763348,-0.1428427,-0.2451763,0.4536712,8.193969
9196-12704,1-24652,262.576708673,54.0598790529,11.00642,9.407354,-0.3229859,9.660233,-0.2505083,-0.01414862,-0.05476775,0.4518534,7.752754
9196-12705,1-24519,261.601970595,53.0145154646,11.42682,9.349913,-0.5682318,9.607398,-0.2115115,-0.2598853,-0.3902412,0.2425274,21.3222
9196-1901,1-24547,261.469061271,53.5394472086,10.73913,9.7765,0.03759299,9.903224,0.06800603,0.01782202,-0.09645883,0.325361,1.900602
9196-1902,1-24553,261.10511407,53.5179199547,10.14038,9.184695,0.2380274,9.603828,0.03392674,-0.1455051,-0.07639676,0.3427154,1.709049
9196-3701,1-24623,261.178503045,53.8551421479,11.59751,9.687955,-0.02916962,9.759749,-0.02429777,0.132559,-0.09003497,0.1811259,7.008626
9196-3702,1-24641,261.927877973,54.0523472977,11.32947,9.070982,-0.225036,9.668547,0.07008406,-0.09062289,-0.08120503,0.441843,4.717172
9196-3703,1-24661,262.38908157,54.3098600071,11.1557,9.419418,-0.1807521,9.665949,-0.0668696,-0.09738983,-0.08706025,0.3990863,7.933129
9196-3704,1-24798,263.083695278,53.5462220634,10.65395,8.584579,-1.034543,9.760454,0.3056222,-0.3571296,-0.4262913,0.4839807,15.19105
9196-6101,1-24557,260.51607353,52.9580010767,11.40091,9.505195,-0.2154688,9.72942,-0.001440645,-0.04535106,-0.1484596,0.4098555,6.617792
9196-6102,1-24533,262.125425133,53.2529763275,11.26592,9.483967,-0.3881737,9.64817,-0.1345749,-0.1505837,-0.2484917,0.463864,11.82263
9196-6103,1-24603,260.354712548,54.3049245811,10.70155,9.112091,-0.2674211,9.699843,-0.006749355,-0.04370136,-0.1775002,0.4523464,5.046347
9196-6104,1-24822,262.317715289,54.2059237546,11.03233,8.891624,0.1342308,9.507439,-0.1144531,-0.265462,-0.004572576,0.4886644,5.989964
9196-9101,1-24814,262.650628268,54.1012286534,10.91941,8.870996,-0.3744028,9.60944,0.07314842,-0.2815534,-0.3360432,0.5469147,11.76277
9196-9102,1-24524,262.48377647,53.477365959,10.83924,9.608713,-0.1913843,9.783566,-0.126758,-0.1157394,-0.1703705,0.3175469,4.397654
9484-12701,1-121566,118.607586613,35.0728723806,9.025266,7.924663,-0.3032527,9.452896,0.1452806,-0.49,0.0,0.6465651,3.937995
9484-12702,1-121546,118.354928416,34.275716274,12.09049,9.447877,-0.5774345,9.869136,-0.1506283,-0.2579564,-0.3610919,0.1800318,21.04626
9484-12703,1-153300,120.674558679,34.9446437099,10.7232,9.299388,-0.5949693,9.636294,-0.3332709,-0.1923164,-0.1544186,0.2731921,5.829303
9484-12704,1-153332,120.510214963,34.6985910153,10.93898,9.008594,-0.2563738,9.562538,-0.1664865,-0.06751396,-0.1277125,0.5508316,7.121611
9484-12705,1-153116,120.870599778,33.4623917158,11.3799,9.220582,0.6415386,9.790778,-0.1590729,-0.177067,0.03449107,0.2907509,6.104692
9484-1901,1-121648,119.717764897,35.0426623741,11.21427,9.61688,-0.1332224,9.784422,-0.07664371,-0.05063104,-0.03531367,0.3744916,5.669366
