name,environment,cluster,P0_s,P1_sps,pdot_over_p,log_abs_pdot_over_p,logP,log_b_proxy
J1740-5340B,globular_cluster,NGC 6397,0.00578697,-6e-21,-1.0368120104303288e-18,-17.984299980577063,-2.2375488,-11.229699
J1748-2446A,globular_cluster,Terzan 5,0.0115632,-2.9e-20,-2.507956275079563e-18,-17.600680039474973,-1.936922,-10.737262
J1748-2446C,globular_cluster,Terzan 5,0.0084361,-6.06e-19,-7.18341413686419e-17,-16.143669094979728,-2.0738583,-10.145693
J1748-2446D,globular_cluster,Terzan 5,0.00471398,1.3e-19,2.7577545937827483e-17,-16.55944438330445,-2.3266123,-10.606334
J1748-2446E,globular_cluster,Terzan 5,0.0021978,-1.8e-20,-8.190008190008188e-18,-17.086715663944883,-2.6580118,-11.20137
J1748-2446F,globular_cluster,Terzan 5,0.00554014,4e-21,7.220034150761533e-19,-18.1414607482126,-2.2564793,-11.32721
J1748-2446G,globular_cluster,Terzan 5,0.0216719,3.9e-19,1.7995653357573633e-17,-16.744832381051197,-1.664103,-10.036519
J1748-2446H,globular_cluster,Terzan 5,0.00492589,-8.3e-20,-1.6849746949282263e-17,-16.77340661700959,-2.3075153,-10.694219
J1748-2446I,globular_cluster,Terzan 5,0.00957019,-7.1e-20,-7.41887047174612e-18,-17.12966221132866,-2.0190794,-10.583911
J1748-2446K,globular_cluster,Terzan 5,0.00296965,-9.4e-20,-3.1653561867560154e-17,-16.499577413217253,-2.5272947,-10.777083
J1748-2446L,globular_cluster,Terzan 5,0.0022447,-1.7e-20,-7.573395108477746e-18,-17.120709385185755,-2.6488417,-11.209196
J1748-2446M,globular_cluster,Terzan 5,0.00356957,4.9e-19,1.3727143605532318e-16,-15.862419822953493,-2.4473841,-10.378594
J1748-2446N,globular_cluster,Terzan 5,0.0086669,5.5e-19,6.345982992765579e-17,-16.19750109614326,-2.0621362,-10.160887
J1748-2446O,globular_cluster,Terzan 5,0.00167663,-6.9e-20,-4.1153981498601366e-17,-16.38558814200152,-2.7755628,-10.968357
J1748-2446P,globular_cluster,Terzan 5,0.00172862,2.6e-19,1.5040899677199155e-16,-15.822726185475947,-2.7623005,-10.673664
J1748-2446Q,globular_cluster,Terzan 5,0.002812,-3.6e-20,-1.2802275960170697e-17,-16.8927128155805,-2.5509847,-10.997341
J1748-2446R,globular_cluster,Terzan 5,0.00502854,4.7e-19,9.346649325649195e-17,-16.029344051179162,-2.2985581,-10.31323
J1748-2446S,globular_cluster,Terzan 5,0.00611664,6.4e-20,1.0463260875251771e-17,-16.980332946498493,-2.2134871,-10.703654
J1748-2446T,globular_cluster,Terzan 5,0.00708491,3.1e-19,4.37549665415651e-17,-16.358972643917642,-2.1496657,-10.329152
