source,environment,cluster,name,P0_s,P_ms,P1_sps,assoc,logP,logPdot_abs,log_b_proxy,log_tau_c
freire,globular_cluster,Terzan 5,J1748-2446G,0.0216719,21.6719,3.9e-19,Terzan 5,-1.664103,-18.408935,-10.036519,16.443802
freire,globular_cluster,Terzan 5,J1748-2446H,0.00492589,4.92589,-8.3e-20,Terzan 5,-2.3075153,-19.080922,-10.694219,16.472377
freire,globular_cluster,Terzan 5,J1748-2446I,0.00957019,9.57019,-7.1e-20,Terzan 5,-2.0190794,-19.148742,-10.583911,16.828632
freire,globular_cluster,Terzan 5,J1748-2446K,0.00296965,2.96965,-9.4e-20,Terzan 5,-2.5272947,-19.026872,-10.777083,16.198547
freire,globular_cluster,Terzan 5,J1748-2446L,0.0022447,2.2447,-1.7e-20,Terzan 5,-2.6488417,-19.769551,-11.209196,16.819679
freire,globular_cluster,Terzan 5,J1748-2446M,0.00356957,3.56957,4.9e-19,Terzan 5,-2.4473841,-18.309804,-10.378594,15.56139
freire,globular_cluster,Terzan 5,J1748-2446N,0.0086669,8.6669,5.5e-19,Terzan 5,-2.0621362,-18.259637,-10.160887,15.896471
freire,globular_cluster,Terzan 5,J1748-2446O,0.00167663,1.67663,-6.9e-20,Terzan 5,-2.7755628,-19.161151,-10.968357,16.084558
freire,globular_cluster,Terzan 5,J1748-2446P,0.00172862,1.72862,2.6e-19,Terzan 5,-2.7623005,-18.585027,-10.673664,15.521696
freire,globular_cluster,Terzan 5,J1748-2446Q,0.002812,2.812,-3.6e-20,Terzan 5,-2.5509847,-19.443697,-10.997341,16.591683
freire,globular_cluster,Terzan 5,J1748-2446R,0.00502854,5.02854,4.7e-19,Terzan 5,-2.2985581,-18.327902,-10.31323,15.728314
freire,globular_cluster,Terzan 5,J1748-2446S,0.00611664,6.11664,6.4e-20,Terzan 5,-2.2134871,-19.19382,-10.703654,16.679303
freire,globular_cluster,Terzan 5,J1748-2446T,0.00708491,7.08491,3.1e-19,Terzan 5,-2.1496657,-18.508638,-10.329152,16.057943
freire,globular_cluster,Terzan 5,J1748-2446U,0.00328914,3.28914,3e-19,Terzan 5,-2.4829176,-18.522879,-10.502898,15.738931
freire,globular_cluster,Terzan 5,J1748-2446V,0.00207251,2.07251,-9.5e-20,Terzan 5,-2.6835034,-19.022276,-10.85289,16.037743
freire,globular_cluster,Terzan 5,J1748-2446W,0.00420518,4.20518,1.2e-19,Terzan 5,-2.3762154,-18.920819,-10.648517,16.243573
freire,globular_cluster,Terzan 5,J1748-2446X,0.00299926,2.99926,5.9e-20,Terzan 5,-2.5229859,-19.229148,-10.876067,16.405132
freire,globular_cluster,Terzan 5,J1748-2446Y,0.00204816,2.04816,1.5e-19,Terzan 5,-2.6886361,-18.823909,-10.756272,15.834243
freire,globular_cluster,Terzan 5,J1748-2446Z,0.00246259,2.46259,-8.6e-20,Terzan 5,-2.6086079,-19.065502,-10.837055,16.155864
freire,globular_cluster,Terzan 5,J1748-2446aa,0.00578804,5.78804,-4.4e-19,Terzan 5,-2.2374685,-18.356547,-10.297008,15.818049
freire,globular_cluster,Terzan 5,J1748-2446ab,0.00511971,5.11971,4.2e-19,Terzan 5,-2.2907546,-18.376751,-10.333753,15.784966
freire,globular_cluster,Terzan 5,J1748-2446ac,0.00508691,5.08691,2.3e-19,Terzan 5,-2.2935459,-18.638272,-10.465909,16.043696
