source,environment,cluster,name,P_ms,P1_sps,logP,logPdot_abs,log_b_proxy
atnf,field,,J0622+0339_P,8.7715,3.4700e-20,-2.0569,-19.4597,-10.7583
atnf,field,,J0640-0139,3.4615,4.8981e-20,-2.4607,-19.3100,-10.8854
atnf,field,,J0646-5455,2.5073,1.8124e-21,-2.6008,-20.7417,-11.6713
atnf,field,,J0711-6830,5.4910,1.4907e-20,-2.2604,-19.8266,-11.0435
atnf,field,,J0721-2038,15.5424,4.4000e-20,-1.8085,-19.3565,-10.5825
atnf,field,,J0732+2314,4.0901,6.0225e-21,-2.3883,-20.2202,-11.3042
atnf,field,,J0737-3039A,22.6994,1.7599e-18,-1.6440,-17.7545,-9.6992
atnf,field,,J0742+4110,3.1391,6.6920e-21,-2.5032,-20.1744,-11.3388
atnf,field,,J0824+0028,9.8613,1.4689e-19,-2.0061,-18.8330,-10.4195
atnf,field,,J0838-2827,3.6154,1.0431e-20,-2.4418,-19.9817,-11.2118
atnf,field,,J0900-3144,11.1096,4.8878e-20,-1.9543,-19.3109,-10.6326
atnf,field,,J0921-5202,9.6798,1.8065e-20,-2.0141,-19.7432,-10.8786
atnf,field,,J0925+6103,5.9825,1.6141e-20,-2.2231,-19.7921,-11.0076
atnf,field,,J1012+5307,5.2557,1.7127e-20,-2.2794,-19.7663,-11.0228
atnf,field,,J1017-7156,2.3385,2.2139e-21,-2.6311,-20.6548,-11.6430
atnf,field,,J1022+1001,16.4529,4.3337e-20,-1.7838,-19.3631,-10.5734
atnf,field,,J1036-4353,1.6801,6.3794e-21,-2.7747,-20.1952,-11.4849
atnf,field,,J1038+0032,28.8516,6.7000e-20,-1.5398,-19.1739,-10.3569
atnf,field,,J1045-0436,24.0475,7.8646e-20,-1.6189,-19.1043,-10.3616
atnf,field,,J1045-4509,7.4742,1.7664e-20,-2.1264,-19.7529,-10.9397
atnf,field,,J1056-7117,26.3097,6.2990e-20,-1.5799,-19.2007,-10.3903
atnf,field,,J1101-6424,5.1093,1.8000e-21,-2.2916,-20.7447,-11.5182
atnf,field,,J1103-5403,3.3927,3.6834e-21,-2.4695,-20.4338,-11.4516
atnf,field,,J1120-3618,5.5570,9.3568e-22,-2.2552,-21.0289,-11.6420
atnf,field,,J1122-3546,7.8381,1.5236e-20,-2.1058,-19.8171,-10.9615
atnf,field,,J1125+7819,4.2016,6.9430e-21,-2.3766,-20.1585,-11.2675
atnf,field,,J1146-6610,3.7223,7.9300e-21,-2.4292,-20.1007,-11.2650
atnf,field,,J1208-5936,28.7139,2.9681e-20,-1.5419,-19.5275,-10.5347
atnf,field,,J1216-6410,3.5394,1.5985e-21,-2.4511,-20.7963,-11.6237
atnf,field,,J1242-4712,5.3133,2.1445e-20,-2.2746,-19.6687,-10.9717
atnf,field,,J1300+1240,6.2185,1.1433e-19,-2.2063,-18.9418,-10.5741
atnf,field,,J1317-0157,2.9082,5.4976e-21,-2.5364,-20.2598,-11.3981
atnf,field,,J1325-6253,28.9686,4.8000e-20,-1.5381,-19.3188,-10.4284
atnf,field,,J1327-0755,2.6779,1.8048e-21,-2.5722,-20.7436,-11.6579
atnf,field,,J1337-6423,9.4234,2.4687e-20,-2.0258,-19.6075,-10.8167
atnf,field,,J1405-4656,7.6022,2.7900e-20,-2.1191,-19.5544,-10.8367
atnf,field,,J1421-4409,6.3857,1.2366e-20,-2.1948,-19.9078,-11.0513
atnf,field,,J1431-5740,4.1105,6.4200e-21,-2.3861,-20.1925,-11.2893
atnf,field,,J1435-6100,9.3480,2.4468e-20,-2.0293,-19.6114,-10.8203
atnf,field,,J1453+1902,5.7923,1.1656e-20,-2.2371,-19.9335,-11.0853
atnf,field,,J1502-6752,26.7444,3.1450e-19,-1.5728,-18.5024,-10.0376
atnf,field,,J1525-5545,11.3599,1.3137e-19,-1.9446,-18.8815,-10.4131
atnf,field,,J1526-2744,2.4891,3.5465e-21,-2.6040,-20.4502,-11.5271
atnf,field,,J1529-3828,8.4863,2.7006e-20,-2.0713,-19.5685,-10.8199
atnf,field,,J1537-5312,6.9271,1.5860e-20,-2.1594,-19.7997,-10.9796
atnf,field,,J1545-4550,3.5753,5.2454e-20,-2.4467,-19.2802,-10.8635
atnf,field,,J1546-5925,7.7967,1.6100e-20,-2.1081,-19.7932,-10.9506
atnf,field,,J1547-5709,4.2912,7.4500e-21,-2.3674,-20.1278,-11.2476
atnf,field,,J1552-4937,6.2843,1.9000e-20,-2.2017,-19.7212,-10.9615
atnf,field,,J1602-1009,3.1158,4.7744e-21,-2.5064,-20.3211,-11.4138
atnf,field,,J1603-7202,14.8420,1.5629e-20,-1.8285,-19.8061,-10.8173
atnf,field,,J1618-3921,11.9873,5.3795e-20,-1.9213,-19.2693,-10.5953
atnf,field,,J1622-6617,23.6234,5.8820e-20,-1.6267,-19.2305,-10.4286
atnf,field,,J1629-6902,6.0006,1.0000e-20,-2.2218,-20.0000,-11.1109
atnf,field,,J1630+3550,3.2292,2.2555e-20,-2.4909,-19.6468,-11.0688
atnf,field,,J1643-1224,4.6216,1.8463e-20,-2.3352,-19.7337,-11.0344
atnf,field,,J1646-2142,5.8531,8.3071e-21,-2.2326,-20.0806,-11.1566
atnf,field,,J1653-2054,4.1292,1.1170e-20,-2.3841,-19.9519,-11.1680
