# Total number of pulsars: 350, in 46 globular clusters.

# Cluster/	Offset	Period (a)	dP/dt  (a,b)	DM		Pb	x	e	m2 (c)
# Pulsar	(arcmin)(ms)		(10-20)		(cm-3 pc)	(days)	(s)		(solar masses)

47 Tuc (NGC 104)
J1823-3021J	*	20.899		 *		86.82(7)	i	i	i	i
J1823-3021K	1.43	2.768		 *		87.50(7)	i	i	i	i
J1823-3022	2.99	2497.7869    0.8123e-15	96.7(2)		i	i	i	i

M28 (NGC 6626)
B1821-24A	0.204	3.05431		+155(7)		120		i	i	i	i
J1824-2452B	0.152	6.54666		-24.15(94)	119.361(18)	i	i	i	i	
J1824-2452C	0.167	4.15828		17.0158(12)	120.5698(12)	8.07781	7.35739	0.84704372(82)	0.30 
J1824-2452D	0.257	79.83543	0.0982*10-15	119.87(12)	30.41151 24.87142 0.776334(12)	0.45
J1824-2452E	0.050	5.41913		-10.88(26)	119.631(19)	i	i	i	i
J1824-2452F	2.794	2.45115		0.9494(24)	123.6079(20)	i	i	i	i
J1824-2452G	0.093	5.90906		17.89(40)	119.674(14)	0.10458	0.016495 0.0	0.011
J1824-2452H	0.319	4.62941		8.19(62)	121.532(50)	0.43503	0.71945	0.0	0.20
J1824-2452I	*	3.93185		 *		119.0		0.45941	0.7658	0.0	0.20
J1824-2452J	0.048	4.03969		-7.57(20)	119.1408(72)	0.09743	0.02502	0.0	0.015
J1824-2452K	*	4.46105		 *		119.8		3.91034	2.6050	0.001524(4) 0.16
J1824-2452L	*	4.10011		 *		119.0		0.22571	0.0570	0.0	0.022
J1824-2452M 	0.085 	4.78428		12.2818		119.352 	0.24252 0.03246 0.0 	0.012
J1824-2452N 	0.058 	3.35287 	15.9209 	119.321 	0.19849 0.04973 0.0 	0.021

M69 (NGC 6637)
J1831-3220A	*	3.81		*		82.1		*	*	*	*
J1831-3220B	*	4.80		*		81.9		i	i	i	i

NGC 6652
J1835-3259A	*	3.889		*		63.35		9.2460	19.6	0.968	0.90
